Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
44,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,100,10,4,38
45,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,100,10,8,37
46,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,27
47,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,25
48,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,22
49,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,10,10,2,25
50,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,10,10,4,24
51,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.1664723,-5.714927909,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,10,10,8,23
55,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,5
56,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,traces
57,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,5
58,CS(=O)(O)=O,-8.128791892,-0.921047757,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,30
59,CS(=O)(O)=O,-8.128791892,-0.921047757,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,25
60,CS(=O)(O)=O,-8.128791892,-0.921047757,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,22
64,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.556997418,-13.17410432,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,22
65,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.556997418,-13.17410432,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,21
66,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.556997418,-13.17410432,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,25
67,O=C(O)C(F)(F)F,-8.454763881,-3.803197595,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,12
68,O=C(O)C(F)(F)F,-8.454763881,-3.803197595,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,16
