Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Additives dim1,Additives dim2,cosolvent vs solvent ratio,temp in degree celsius,cat. loading mol%,time in min,yield
-10.58822511,-2.072226103,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,0
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-5.027498842,-9.87145008,0.5,21,10,2,3
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-5.027498842,-9.87145008,0.5,21,10,4,0
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-5.027498842,-9.87145008,0.5,21,10,8,0
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,11
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,0
-15.62634673,9.616117043,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,0
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,1
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,2
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,1
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-10.48147802,-10.82665334,0.5,21,10,2,0
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-10.48147802,-10.82665334,0.5,21,10,4,1
-15.48731716,13.04952631,-11.2312595,-9.071499758,14.31421122,-1.634428954,-10.48147802,-10.82665334,0.5,21,10,8,1
-15.45709194,18.60670191,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,0
-15.45709194,18.60670191,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,3
-15.45709194,18.60670191,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,3
-10.41032386,-11.93316611,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,2
-10.41032386,-11.93316611,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,2
-10.41032386,-11.93316611,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,2
-12.21610681,-6.279246933,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,2,0
-12.21610681,-6.279246933,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,4,0
-12.21610681,-6.279246933,-11.2312595,-9.071499758,14.31421122,-1.634428954,-14.04107488,-7.913130794,0.5,21,10,8,0
1.2167367,0.535948542,-10.63284633,-3.178061434,14.31421122,-1.634428954,0,0,0.5,21,10,2,25
1.2167367,0.535948542,-10.63284633,-3.178061434,14.31421122,-1.634428954,0,0,0.5,21,10,4,23
1.2167367,0.535948542,-10.63284633,-3.178061434,14.31421122,-1.634428954,0,0,0.5,21,10,8,25
1.2167367,0.535948542,-14.97327291,-7.649081801,14.31421122,-1.634428954,0,0,0.5,21,10,2,26
1.2167367,0.535948542,-14.97327291,-7.649081801,14.31421122,-1.634428954,0,0,0.5,21,10,4,28
1.2167367,0.535948542,-14.97327291,-7.649081801,14.31421122,-1.634428954,0,0,0.5,21,10,8,28
1.2167367,0.535948542,-1.755749445,6.473129416,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-1.755749445,6.473129416,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-1.755749445,6.473129416,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-0.154281716,13.24025295,14.31421122,-1.634428954,0,0,0.5,21,10,2,27
1.2167367,0.535948542,-0.154281716,13.24025295,14.31421122,-1.634428954,0,0,0.5,21,10,4,29
1.2167367,0.535948542,-0.154281716,13.24025295,14.31421122,-1.634428954,0,0,0.5,21,10,8,27
1.2167367,0.535948542,8.017946002,20.22548151,14.31421122,-1.634428954,0,0,0.5,21,10,2,37
1.2167367,0.535948542,8.017946002,20.22548151,14.31421122,-1.634428954,0,0,0.5,21,10,4,27
1.2167367,0.535948542,8.017946002,20.22548151,14.31421122,-1.634428954,0,0,0.5,21,10,8,27
1.2167367,0.535948542,10.2443772,7.708616527,14.31421122,-1.634428954,0,0,0.5,21,10,2,23
1.2167367,0.535948542,10.2443772,7.708616527,14.31421122,-1.634428954,0,0,0.5,21,10,4,25
1.2167367,0.535948542,10.2443772,7.708616527,14.31421122,-1.634428954,0,0,0.5,21,10,8,26
1.2167367,0.535948542,17.10765351,0.25635035,14.31421122,-1.634428954,0,0,0.5,21,10,2,23
1.2167367,0.535948542,17.10765351,0.25635035,14.31421122,-1.634428954,0,0,0.5,21,10,4,23
1.2167367,0.535948542,17.10765351,0.25635035,14.31421122,-1.634428954,0,0,0.5,21,10,8,24
1.2167367,0.535948542,51.05607948,-17.74595545,14.31421122,-1.634428954,0,0,0.5,21,10,2,13
1.2167367,0.535948542,51.05607948,-17.74595545,14.31421122,-1.634428954,0,0,0.5,21,10,4,20
1.2167367,0.535948542,51.05607948,-17.74595545,14.31421122,-1.634428954,0,0,0.5,21,10,8,18
1.2167367,0.535948542,-12.15940052,-2.931116406,14.31421122,-1.634428954,0,0,0.5,21,10,2,24
1.2167367,0.535948542,-12.15940052,-2.931116406,14.31421122,-1.634428954,0,0,0.5,21,10,4,20
1.2167367,0.535948542,-12.15940052,-2.931116406,14.31421122,-1.634428954,0,0,0.5,21,10,8,17
1.2167367,0.535948542,-26.10750752,-16.58978902,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-26.10750752,-16.58978902,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-26.10750752,-16.58978902,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-6.429209767,5.05383681,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-6.429209767,5.05383681,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-6.429209767,5.05383681,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-2.982528482,4.207836318,14.31421122,-1.634428954,0,0,0.5,21,10,2,0
1.2167367,0.535948542,-2.982528482,4.207836318,14.31421122,-1.634428954,0,0,0.5,21,10,4,0
1.2167367,0.535948542,-2.982528482,4.207836318,14.31421122,-1.634428954,0,0,0.5,21,10,8,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,0.5,2,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,0.5,4,3
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,0.5,8,3
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,0.5,24,11
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,1,2,5
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,1,4,10
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,1,8,16
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,1,24,23
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,2,2,25
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,2,4,27
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,2,8,29
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,2,24,22
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,25,2,27
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,25,4,26
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,25,24,24
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,50,2,5
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,50,4,5
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,50,8,4
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,50,24,6
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,110,2,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,110,4,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,110,8,3
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,21,110,24,0
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,10,10,2,32
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,10,10,4,32
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,10,10,8,35
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,10,10,24,31
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,50,10,0.5,32
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,50,10,1,33
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,50,10,2,30
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,50,10,4,34
1.2167367,0.535948542,-11.2312595,-9.071499758,14.31421122,-1.634428954,0,0,0.5,50,10,8,31
