Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hours,yield
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,25
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,24
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,23
38.40214055,5.14687555,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,5
38.40214055,5.14687555,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
38.40214055,5.14687555,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,5
-8.17701246,-0.73595714,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,30
-8.17701246,-0.73595714,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,25
-8.17701246,-0.73595714,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,22
2.49229846,-13.20238305,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,22
2.49229846,-13.20238305,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,21
2.49229846,-13.20238305,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,25
-8.4635935,-3.85579597,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,12
-8.4635935,-3.85579597,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,16
-8.4635935,-3.85579597,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,7
20.67304834,-6.1824431,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,3
20.67304834,-6.1824431,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,5
20.67304834,-6.1824431,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
-1.5789397,-2.50377161,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
-1.5789397,-2.50377161,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
-1.5789397,-2.50377161,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
9.90045103,2.57780379,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,19
9.90045103,2.57780379,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,20
9.90045103,2.57780379,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,16
28.40753848,10.59274743,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,16
28.40753848,10.59274743,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,16
28.40753848,10.59274743,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,13
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,1
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,8
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,12
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,3
-9.72895539,-2.44799541,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-10.50122051,-2.15758673,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-10.50122051,-2.15758673,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,2
-10.50122051,-2.15758673,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,2,3
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,4,0
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-4.985562736,-9.876766499,21,10,8,0
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,11
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,0
-15.43474679,9.54649218,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,1
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,2
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,1
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,2,0
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,4,1
-15.28061198,12.99003563,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-10.38411087,-10.79876159,21,10,8,1
-15.23386918,18.5708273,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,0
-15.23386918,18.5708273,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,3
-15.23386918,18.5708273,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,3
-10.22121572,-12.13572376,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,2
-10.22121572,-12.13572376,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,2
-10.22121572,-12.13572376,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,2
-12.06512673,-6.36267365,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,0
-12.06512673,-6.36267365,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,0
-12.06512673,-6.36267365,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,0
1.08309219,0.60956586,-10.56162419,-3.3177321,14.36486742,-1.75190403,0.5,0,0,21,10,2,25
1.08309219,0.60956586,-10.56162419,-3.3177321,14.36486742,-1.75190403,0.5,0,0,21,10,4,23
1.08309219,0.60956586,-10.56162419,-3.3177321,14.36486742,-1.75190403,0.5,0,0,21,10,8,25
1.08309219,0.60956586,-14.87009364,-7.83107553,14.36486742,-1.75190403,0.5,0,0,21,10,2,26
1.08309219,0.60956586,-14.87009364,-7.83107553,14.36486742,-1.75190403,0.5,0,0,21,10,4,28
1.08309219,0.60956586,-14.87009364,-7.83107553,14.36486742,-1.75190403,0.5,0,0,21,10,8,28
1.08309219,0.60956586,-1.73588194,6.56938867,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
