Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
129,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,26
130,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC1=C(F)C(F)=C(F)C(F)=C1F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,23
131,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC1=C(F)C(F)=C(F)C(F)=C1F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,23
132,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC1=C(F)C(F)=C(F)C(F)=C1F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,24
133,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,13
134,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,20
135,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,18
136,CC1=CC=C(S(O)(=O)=O)C=C1,,,C[N+]([O-])=O,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,24
137,CC1=CC=C(S(O)(=O)=O)C=C1,,,C[N+]([O-])=O,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,20
138,CC1=CC=C(S(O)(=O)=O)C=C1,,,C[N+]([O-])=O,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,17
139,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H],,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,nil
140,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H],,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,nil
141,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H],,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,nil
142,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H] with Bu4NPF6,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,nil
143,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H] with Bu4NPF6,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,nil
144,CC1=CC=C(S(O)(=O)=O)C=C1,,,[H]O[H] with Bu4NPF6,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,nil
145,CC1=CC=C(S(O)(=O)=O)C=C1,,,C1CCOC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,nil
146,CC1=CC=C(S(O)(=O)=O)C=C1,,,C1CCOC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,nil
147,CC1=CC=C(S(O)(=O)=O)C=C1,,,C1CCOC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,nil
148,CC1=CC=C(S(O)(=O)=O)C=C1,,,O1CCOCC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,nil
149,CC1=CC=C(S(O)(=O)=O)C=C1,,,O1CCOCC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,nil
150,CC1=CC=C(S(O)(=O)=O)C=C1,,,O1CCOCC1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,nil
151,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,0.5,2,nil
152,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,0.5,4,3
153,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,0.5,8,3
154,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,0.5,24,11
155,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,1,2,5
156,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,1,4,10
157,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,1,8,16
158,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,1,24,23
159,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,2,2,25
160,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,2,4,27
161,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,2,8,29
162,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,2,24,22
163,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,25,2,27
164,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,25,4,26
165,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,25,24,24
166,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,50,2,5
167,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,50,4,5
168,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,50,8,4
169,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,50,24,6
170,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,110,2,nil
171,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,21,,110,4,nil
172,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,21,,110,8,3
173,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,21,,110,24,nil
174,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,10,,10,2,32
175,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,10,,10,4,32
176,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,10,,10,8,35
177,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,10,,10,24,31
178,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,50,,10,0.5,32
179,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,50,,10,1,33
180,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,50,,10,2,30
181,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,50,,10,4,34
182,CC1=CC=C(S(O)(=O)=O)C=C1,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,,,50,,10,8,31
