Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
57,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],38.6158785,5.609527124,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,5
58,CS(=O)(O)=O,-8.177463674,-0.924748512,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,30
59,CS(=O)(O)=O,-8.177463674,-0.924748512,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,25
60,CS(=O)(O)=O,-8.177463674,-0.924748512,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,22
61,O=S(O)(C(F)(F)F)=O,-6.907961546,-6.385283989,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,regio
62,O=S(O)(C(F)(F)F)=O,-6.907961546,-6.385283989,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,regio
63,O=S(O)(C(F)(F)F)=O,-6.907961546,-6.385283989,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,regio
64,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.618682392,-13.17234088,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,22
65,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.618682392,-13.17234088,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,21
66,O=S(NS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,2.618682392,-13.17234088,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,25
67,O=C(O)C(F)(F)F,-8.453216225,-3.869092911,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,12
68,O=C(O)C(F)(F)F,-8.453216225,-3.869092911,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,16
69,O=C(O)C(F)(F)F,-8.453216225,-3.869092911,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,7
70,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.73718117,-6.400141078,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,3
71,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.73718117,-6.400141078,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,5
72,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.73718117,-6.400141078,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,traces
73,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.423457785,-2.322835123,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,nil
74,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.423457785,-2.322835123,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,nil
