Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives dim1,Additives dim2,temp in degree celsius,cat. loading mol%,time in min,yield
19.40074677,-5.36511926,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,5
-3.509232514,2.122230739,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,30
-3.509232514,2.122230739,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,25
-3.509232514,2.122230739,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,22
2.199276066,6.239133919,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,22
2.199276066,6.239133919,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,21
2.199276066,6.239133919,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,25
-3.43757412,3.357761295,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,12
-3.43757412,3.357761295,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,16
-3.43757412,3.357761295,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,7
7.564214703,4.056817916,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,3
7.564214703,4.056817916,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,5
7.564214703,4.056817916,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,0
-0.517771015,1.738760588,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,0
-0.517771015,1.738760588,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,0
-0.517771015,1.738760588,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,0
4.599039666,-3.182958265,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,19
4.599039666,-3.182958265,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,20
4.599039666,-3.182958265,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,8,16
11.00281944,-6.108221232,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,2,16
11.00281944,-6.108221232,-3.103239204,-2.07761934,4.727547618,-0.758874265,0.5,0,0,21,10,4,16
